sweep,dataset,variation,n_samples,fork,heuristics,seed,graph_n_neighbors,graph_metric,graph_mutual,graph_knn_method,aco_n_ants,aco_n_iterations,aco_path_length,aco_beta,aco_alpha,aco_evaporation_rate,aco_evaporation_schedule,aco_pheromone_deposit,aco_initial_pheromone,aco_tau_min,aco_tau_max,threshold_method,cutoff_value,cutoff_percentile,Clusters,NoisePct,ARI_all,ARI_assigned,Purity,Homogeneity,Completeness,V-Measure,SizeMin,SizeMax,SizeMean,SizeMedian,MaxGap,GapPos,GiantShare,baseline_components,baseline_ARI,seconds,ARI_over_baseline
graph_forks,simple_blobs,s42_std0.6,10000,or_step,none,1,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.35665,79.1945313034944,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.1632587919884827,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_step,none,10,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.35665,79.20708465523931,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16270170899224468,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_step,none,100,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.35665,79.24017985529409,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.1633439580036793,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_step,none,1000,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.35665,79.29609933124871,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16259675001492724,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_step,none,10000,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,step,1.0,1.0,0.01,10.0,otsu,3.35665,79.17056581379956,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16274904197780415,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_iter,none,1,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.849551521306601,23.013717389815806,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16025808302219957,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_iter,none,10,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.849551521306601,22.960080341451167,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.15992999999434687,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_iter,none,100,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.849551521306601,23.059365941615503,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16050279198680073,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_iter,none,1000,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.849551521306601,23.37776459041837,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16016604198375717,0.0
graph_forks,simple_blobs,s42_std0.6,10000,or_iter,none,10000,15,euclidean,false,exact,10000,20,10,2.0,1.0,0.07,iteration,1.0,1.0,0.01,10.0,otsu,5.849551521306601,23.079907789925365,5,0.0,0.7306729172222295,0.7306729172222295,0.7144,0.7964632249977761,1.0,0.8867013962935557,1428,2857,2000.0,1429.0,1.999300209937019,1,0.2857,5,0.7306729172222295,0.16016054101055488,0.0
